appid	name	playtime_forever	img_icon_url	img_logo_url	playtime_windows_forever	playtime_mac_forever	playtime_linux_forever	achievements	total_achievements	earned_achievements	is_multiplayer	genre	price	reviews
48000	LIMBO	95	463f57855017564301b17050fba73804b3bd86d6	9f35c3d64649a5a03b69d6a9218b1f77caf15025	0	0	0	0.0	13	0	False	Platformer	129.99	Very Positive
496810	MegaTagmension Blanc + Neptune VS Zombies	0	59daa5df1084feac1b4e84d66c7ab1dac75c4a46	bfcaa082a1d124470860d5387fbb09978b817bce	0	0	0	0.0	36	0	False	Hack and Slash	179.99	Very Positive
319630	Life is Strange™	0	e54b13da0710a35e7088664a77632e79157d8332	e92d2b3a0c01be3bdd77ec665a3014028efaa105	0	0	0	0.0	60	0	False	Adventure	0.0	Very Positive
469820	Genital Jousting	10	6c75b49fb3dcf2f3903878e274a13e44d100b85a	b48933865241d7a20a669476a12d183738257cb0	0	0	0	0.0	28	0	True		94.99	Very Positive
489830	The Elder Scrolls V: Skyrim Special Edition	1	0dfe3eed5658f9fbd8b62f8021038c0a4190f21d	356b389ad5e6937f097b21b23acbb89608878ecf	0	0	0	0.0	75	0	False	RPG	625.0	Very Positive
252950	Rocket League	6074	9ad6dd3d173523354385955b5fb2af87639c4163	3854e40582bc14b8ba3c9ee163a0fa64bc538def	0	0	0	0.5227272727272727	88	46	True	Soccer	224.99	Very Positive
252850	Streamline	0	8c7695a2e6017605e704a52c630090349f344ae2	cc37b0e18b2a3f53cd0b38987eb6dd5fbcfb303d	0	0	0	0.0	49	0	True	Sports	0.0	Mixed
402560	Tabletopia	3	00172b177589b9ecf87a8cd411b434e6b061db3b	bd0bd00bd2e0b91408cdb444babd74e2786581e6	0	0	0	0.0	2	0	True	Board Game	0.0	Mixed
563560	Alien Swarm: Reactive Drop	14	ebb7491e0400dacd15f6d09b4226ca8ee71dc1b7	4d35fcd592f741bf802ac06c7ff5bd668ce2be0e	0	0	0	0.0273972602739726	146	4	True	Top-Down Shooter	0.0	Very Positive
571530	Superdimension Neptune VS Sega Hard Girls	0	b8b71210b9b448a868cd03e93e3ba1f159116834	eb487e2f847bfe6e3067d0cb3756f5f6e26c6c1c	0	0	0	0.0	38	0	False	RPG	224.99	Very Positive
575510	Sakura Agent	15	d5d234c5eff71c589b1f1751d4c349554f2192cf	69840c24d6be25d8f608b0b9f79b7e4d2d4365e4	0	0	0	0.1	10	1	False	Visual Novel	129.99	Mostly Positive
578080	PLAYERUNKNOWN'S BATTLEGROUNDS	3141	93d896e7d7a42ae35c1d77239430e1d90bc82cae	2d2732a33511b58c69aff6b098a22687a3bb8533	0	0	0	0.16216216216216214	37	6	True	Shooter	0.0	Mixed
218620	PAYDAY 2	0	a6abc0d0c1e79c0b5b0f5c8ab81ce9076a542414	4467a70648f49a6b309b41b81b4531f9a20ed99d	0	0	0	0.0	1130	0	True	FPS	0.0	Very Positive
